

     Summary: group layer ops

group_layer,group_conv_ops,ic,ih,iw,iact_size,oc,oh,ow,oact_size
Shortcut_0,PartSlice_G_SQUEZZE_9,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_0,PartSlice_G_EXPAND_10,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_0,Conv2d_2.G_IR_10,LayerType.Conv2d,6389760,1,1,64,32,1,15,208,r * s * c * (k // g) * h * w
Shortcut_0,Conv2d_3.G_swap_10,LayerType.Conv2d,49840128,3,3,32,64,1,13,208,r * s * c * (k // g) * h * w
Shortcut_0,Shortcut_0.G_swap_10,LayerType.Add,0,,,,,,13,208,
Shortcut_0,PartSlice_G_SQUEZZE_10,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_0,PartSlice_G_EXPAND_11,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_0,Conv2d_2.G_IR_11,LayerType.Conv2d,6389760,1,1,64,32,1,15,208,r * s * c * (k // g) * h * w
Shortcut_0,Conv2d_3.G_swap_11,LayerType.Conv2d,49840128,3,3,32,64,1,13,208,r * s * c * (k // g) * h * w
Shortcut_0,Shortcut_0.G_swap_11,LayerType.Add,0,,,,,,13,208,
Shortcut_0,PartSlice_G_SQUEZZE_11,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_0,PartSlice_G_EXPAND_12,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_0,Conv2d_2.G_IR_12,LayerType.Conv2d,6389760,1,1,64,32,1,15,208,r * s * c * (k // g) * h * w
Shortcut_0,Conv2d_3.G_swap_12,LayerType.Conv2d,49840128,3,3,32,64,1,13,208,r * s * c * (k // g) * h * w
Shortcut_0,Shortcut_0.G_swap_12,LayerType.Add,0,,,,,,13,208,
Shortcut_0,PartSlice_G_SQUEZZE_12,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_0,PartSlice_G_EXPAND_13,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_0,Conv2d_2.G_IR_13,LayerType.Conv2d,6389760,1,1,64,32,1,15,208,r * s * c * (k // g) * h * w
Shortcut_0,Conv2d_3.G_swap_13,LayerType.Conv2d,49840128,3,3,32,64,1,13,208,r * s * c * (k // g) * h * w
Shortcut_0,Shortcut_0.G_swap_13,LayerType.Add,0,,,,,,13,208,
Shortcut_0,PartSlice_G_SQUEZZE_13,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_0,PartSlice_G_EXPAND_14,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_0,Conv2d_2.G_IR_14,LayerType.Conv2d,6389760,1,1,64,32,1,15,208,r * s * c * (k // g) * h * w
Shortcut_0,Conv2d_3.G_swap_14,LayerType.Conv2d,49840128,3,3,32,64,1,13,208,r * s * c * (k // g) * h * w
Shortcut_0,Shortcut_0.G_swap_14,LayerType.Add,0,,,,,,13,208,
Shortcut_0,PartSlice_G_SQUEZZE_14,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_0,PartSlice_G_EXPAND_15,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_0,Conv2d_2.G_IR_15,LayerType.Conv2d,5963776,1,1,64,32,1,14,208,r * s * c * (k // g) * h * w
Shortcut_0,Conv2d_3.G_swap_15,LayerType.Conv2d,49840128,3,3,32,64,1,13,208,r * s * c * (k // g) * h * w
Shortcut_0,Shortcut_0.G_swap_15,LayerType.Add,0,,,,,,13,208,
Shortcut_0,PartSlice_G_SQUEZZE_15,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_0,Shortcut_0,LayerType.Concat,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_4,PartSlice_IR_0,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_4,Conv2d_4.IR_0,LayerType.Conv2d,69009408,3,3,64,128,1,9,104,r * s * c * (k // g) * h * w
Conv2d_4,PartSlice_IR_1,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_4,Conv2d_4.IR_1,LayerType.Conv2d,69009408,3,3,64,128,1,9,104,r * s * c * (k // g) * h * w
Conv2d_4,PartSlice_IR_2,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_4,Conv2d_4.IR_2,LayerType.Conv2d,69009408,3,3,64,128,1,9,104,r * s * c * (k // g) * h * w
Conv2d_4,PartSlice_IR_3,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_4,Conv2d_4.IR_3,LayerType.Conv2d,61341696,3,3,64,128,1,8,104,r * s * c * (k // g) * h * w
Conv2d_4,PartSlice_IR_4,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_4,Conv2d_4.IR_4,LayerType.Conv2d,69009408,3,3,64,128,1,9,104,r * s * c * (k // g) * h * w
Conv2d_4,PartSlice_IR_5,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_4,Conv2d_4.IR_5,LayerType.Conv2d,69009408,3,3,64,128,1,9,104,r * s * c * (k // g) * h * w
Conv2d_4,PartSlice_IR_6,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_4,Conv2d_4.IR_6,LayerType.Conv2d,69009408,3,3,64,128,1,9,104,r * s * c * (k // g) * h * w
Conv2d_4,PartSlice_IR_7,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_4,Conv2d_4.IR_7,LayerType.Conv2d,61341696,3,3,64,128,1,8,104,r * s * c * (k // g) * h * w
Conv2d_4,PartSlice_IR_8,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_4,Conv2d_4.IR_8,LayerType.Conv2d,69009408,3,3,64,128,1,9,104,r * s * c * (k // g) * h * w
Conv2d_4,PartSlice_IR_9,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_4,Conv2d_4.IR_9,LayerType.Conv2d,69009408,3,3,64,128,1,9,104,r * s * c * (k // g) * h * w
